word,openmoji_url,match_type,annotation
Above,,none,
Actor,https://cdn.jsdelivr.net/gh/hfg-gmuend/openmoji@master/color/svg/1F9D1-200D-1F3ED.svg,openmoji|score80,factory worker
Ahead,,none,
Air,https://cdn.jsdelivr.net/gh/hfg-gmuend/openmoji@master/color/svg/1F471.svg,openmoji|score80,person: blond hair
Airline,,none,
Airplane,https://cdn.jsdelivr.net/gh/hfg-gmuend/openmoji@master/color/svg/2708.svg,openmoji|score100,airplane
Alligator,,none,
Almonds,,none,
Alpaca,,none,
Amber,,none,
Ambulance,https://cdn.jsdelivr.net/gh/hfg-gmuend/openmoji@master/color/svg/1F691.svg,openmoji|score100,ambulance
Ankle,,none,
Ant,https://cdn.jsdelivr.net/gh/hfg-gmuend/openmoji@master/color/svg/1F41C.svg,openmoji|score100,ant
Apple,https://cdn.jsdelivr.net/gh/hfg-gmuend/openmoji@master/color/svg/F8FF.svg,openmoji|score100,apple
Apple Pie,https://cdn.jsdelivr.net/gh/hfg-gmuend/openmoji@master/color/svg/1F967.svg,openmoji|score90,pie
Apricot,,none,
Aqua,https://cdn.jsdelivr.net/gh/hfg-gmuend/openmoji@master/color/svg/2652.svg,openmoji|score80,Aquarius
Architect,,none,
Arm,https://cdn.jsdelivr.net/gh/hfg-gmuend/openmoji@master/color/svg/1F9BE.svg,openmoji|score80,mechanical arm
Artichoke,,none,
Artist,https://cdn.jsdelivr.net/gh/hfg-gmuend/openmoji@master/color/svg/1F9D1-200D-1F3A8.svg,openmoji|score100,artist
Asparagus,,none,
Aunt,,none,
Avocado,https://cdn.jsdelivr.net/gh/hfg-gmuend/openmoji@master/color/svg/1F951.svg,openmoji|score100,avocado
Baby,https://cdn.jsdelivr.net/gh/hfg-gmuend/openmoji@master/color/svg/1F476.svg,openmoji|score100,baby
Back,https://cdn.jsdelivr.net/gh/hfg-gmuend/openmoji@master/color/svg/1F979.svg,openmoji|score80,face holding back tears
Baker,,none,
Bakery,,none,
Banana,https://cdn.jsdelivr.net/gh/hfg-gmuend/openmoji@master/color/svg/1F34C.svg,openmoji|score100,banana
Bank,https://cdn.jsdelivr.net/gh/hfg-gmuend/openmoji@master/color/svg/1F3E6.svg,openmoji|score100,bank
Barber,https://cdn.jsdelivr.net/gh/hfg-gmuend/openmoji@master/color/svg/1F488.svg,openmoji|score80,barber pole
Bat,https://cdn.jsdelivr.net/gh/hfg-gmuend/openmoji@master/color/svg/1F987.svg,openmoji|score100,bat
Beach,https://cdn.jsdelivr.net/gh/hfg-gmuend/openmoji@master/color/svg/1F3D6.svg,openmoji|score80,beach with umbrella
Beans,https://cdn.jsdelivr.net/gh/hfg-gmuend/openmoji@master/color/svg/1FAD8.svg,openmoji|score100,beans
Bear,https://cdn.jsdelivr.net/gh/hfg-gmuend/openmoji@master/color/svg/1F43B.svg,openmoji|score100,bear
Bee,https://cdn.jsdelivr.net/gh/hfg-gmuend/openmoji@master/color/svg/1F41D.svg,openmoji|score80,honeybee
Behind,https://cdn.jsdelivr.net/gh/hfg-gmuend/openmoji@master/color/svg/26C5.svg,openmoji|score80,sun behind cloud
Bell Pepper,https://cdn.jsdelivr.net/gh/hfg-gmuend/openmoji@master/color/svg/1FAD1.svg,openmoji|score100,bell pepper
Below,,none,
Between,,none,
Bicycle,https://cdn.jsdelivr.net/gh/hfg-gmuend/openmoji@master/color/svg/1F6B2.svg,openmoji|score100,bicycle
Bike,https://cdn.jsdelivr.net/gh/hfg-gmuend/openmoji@master/color/svg/E14A.svg,openmoji|score80,motorbike helmet
Birthday,https://cdn.jsdelivr.net/gh/hfg-gmuend/openmoji@master/color/svg/1F382.svg,openmoji|score80,birthday cake
Biscuit,,none,
Black,https://cdn.jsdelivr.net/gh/hfg-gmuend/openmoji@master/color/svg/1F5A4.svg,openmoji|score80,black heart
Blue,https://cdn.jsdelivr.net/gh/hfg-gmuend/openmoji@master/color/svg/1F499.svg,openmoji|score80,blue heart
Blueberry,,none,
Boat,https://cdn.jsdelivr.net/gh/hfg-gmuend/openmoji@master/color/svg/1F6A3.svg,openmoji|score80,person rowing boat
Bread,https://cdn.jsdelivr.net/gh/hfg-gmuend/openmoji@master/color/svg/1F35E.svg,openmoji|score100,bread
Breeze,,none,
Brinjal,,none,
Broccoli,https://cdn.jsdelivr.net/gh/hfg-gmuend/openmoji@master/color/svg/1F966.svg,openmoji|score100,broccoli
Brother,,none,
Brown,https://cdn.jsdelivr.net/gh/hfg-gmuend/openmoji@master/color/svg/1F90E.svg,openmoji|score80,brown heart
Buddhism,,none,
Builder,,none,
Bull,https://cdn.jsdelivr.net/gh/hfg-gmuend/openmoji@master/color/svg/1F685.svg,openmoji|score80,bullet train
Bus,https://cdn.jsdelivr.net/gh/hfg-gmuend/openmoji@master/color/svg/1F68C.svg,openmoji|score100,bus
Butter,https://cdn.jsdelivr.net/gh/hfg-gmuend/openmoji@master/color/svg/1F9C8.svg,openmoji|score100,butter
Butterfly,https://cdn.jsdelivr.net/gh/hfg-gmuend/openmoji@master/color/svg/1F98B.svg,openmoji|score100,butterfly
Cabbage,,none,
Café,https://cdn.jsdelivr.net/gh/hfg-gmuend/openmoji@master/color/svg/E200.svg,openmoji|score80,cafeteria
Cake,https://cdn.jsdelivr.net/gh/hfg-gmuend/openmoji@master/color/svg/E0C7.svg,openmoji|score100,cake
Camel,https://cdn.jsdelivr.net/gh/hfg-gmuend/openmoji@master/color/svg/1F42A.svg,openmoji|score100,camel
Canoe,https://cdn.jsdelivr.net/gh/hfg-gmuend/openmoji@master/color/svg/1F6F6.svg,openmoji|score100,canoe
Cantaloupe,,none,
Capsicum,,none,
Car,https://cdn.jsdelivr.net/gh/hfg-gmuend/openmoji@master/color/svg/1F9D5.svg,openmoji|score80,woman with headscarf
Carnival,,none,
Carpenter,,none,
Carrot,https://cdn.jsdelivr.net/gh/hfg-gmuend/openmoji@master/color/svg/1F955.svg,openmoji|score100,carrot
Cashier,,none,
Cat,https://cdn.jsdelivr.net/gh/hfg-gmuend/openmoji@master/color/svg/1F408.svg,openmoji|score100,cat
Cauliflower,,none,
Chapati,,none,
Cheek,,none,
Cheese,https://cdn.jsdelivr.net/gh/hfg-gmuend/openmoji@master/color/svg/1F9C0.svg,openmoji|score80,cheese wedge
Chef,,none,
Cherry,https://cdn.jsdelivr.net/gh/hfg-gmuend/openmoji@master/color/svg/1F338.svg,openmoji|score80,cherry blossom
