word,svg,emoji
Above,assets\generated\above.svg,⬆️
Actor,assets\generated\actor.svg,🎭
Ahead,assets\generated\ahead.svg,➡️
Air,assets\generated\air.svg,💨
Airline,assets\generated\airline.svg,✈️
Airplane,assets\generated\airplane.svg,✈️
Alligator,assets\generated\alligator.svg,🐊
Almonds,assets\generated\almonds.svg,🌰
Alpaca,assets\generated\alpaca.svg,🦙
Amber,assets\generated\amber.svg,🟠
Ambulance,assets\generated\ambulance.svg,🚑
Ankle,assets\generated\ankle.svg,🦶
Ant,assets\generated\ant.svg,🐜
Apple,assets\generated\apple.svg,🍎
Apple Pie,assets\generated\apple-pie.svg,🥧
Apricot,assets\generated\apricot.svg,🟠
Aqua,assets\generated\aqua.svg,🩵
Architect,assets\generated\architect.svg,📐
Arm,assets\generated\arm.svg,💪
Artichoke,assets\generated\artichoke.svg,�
Artist,assets\generated\artist.svg,🎨
Asparagus,assets\generated\asparagus.svg,🌿
Aunt,assets\generated\aunt.svg,👩
Avocado,assets\generated\avocado.svg,🥑
Baby,assets\generated\baby.svg,👶
Back,assets\generated\back.svg,🦴
Baker,assets\generated\baker.svg,🧑‍🍳
Bakery,assets\generated\bakery.svg,🥐
Banana,assets\generated\banana.svg,🍌
Bank,assets\generated\bank.svg,🏦
Barber,assets\generated\barber.svg,💈
Bat,assets\generated\bat.svg,🦇
Beach,assets\generated\beach.svg,🏖️
Beans,assets\generated\beans.svg,🫘
Bear,assets\generated\bear.svg,🐻
Bee,assets\generated\bee.svg,🐝
Behind,assets\generated\behind.svg,👈
Bell Pepper,assets\generated\bell-pepper.svg,🫑
Below,assets\generated\below.svg,⬇️
Between,assets\generated\between.svg,↔️
Bicycle,assets\generated\bicycle.svg,🚲
Bike,assets\generated\bike.svg,🏍️
Birthday,assets\generated\birthday.svg,🎂
Biscuit,assets\generated\biscuit.svg,🍪
Black,assets\generated\black.svg,⚫
Blue,assets\generated\blue.svg,🔵
Blueberry,assets\generated\blueberry.svg,🫐
Boat,assets\generated\boat.svg,⛵
Bread,assets\generated\bread.svg,🍞
Breeze,assets\generated\breeze.svg,🍃
Brinjal,assets\generated\brinjal.svg,🍆
Broccoli,assets\generated\broccoli.svg,🥦
Brother,assets\generated\brother.svg,👦
Brown,assets\generated\brown.svg,🟤
Buddhism,assets\generated\buddhism.svg,☸️
Builder,assets\generated\builder.svg,👷
Bull,assets\generated\bull.svg,🐂
Bus,assets\generated\bus.svg,🚌
Butter,assets\generated\butter.svg,🧈
Butterfly,assets\generated\butterfly.svg,🦋
Cabbage,assets\generated\cabbage.svg,🥬
Café,assets\generated\caf.svg,☕
Cake,assets\generated\cake.svg,🍰
Camel,assets\generated\camel.svg,🐫
Canoe,assets\generated\canoe.svg,🛶
